a,b,c,d,e
A,B,,,
,,C,,
A,,,D,
,,C,D,
A,,C,,
,,,D,
A,,C,,
,,C,,
,B,,D,
A,,C,,
A,,,D,
,,C,D,
,,C,D,
A,B,,,
A,B,,,
A,,C,,
,,,D,
A,,C,,
A,B,,,
A,B,,,
,B,,D,
A,B,,,
A,,,,
A,,,,
A,B,,,
,B,C,,
,,C,,
,,C,,
A,,C,,
A,B,,,
A,,C,,
A,,C,,
,B,,D,
A,,,D,
,B,C,,
,,C,,
,B,,,
,B,,D,
A,,C,,
,B,,D,
A,,C,,
,,C,D,
A,,,D,
A,,,D,
A,,C,,
,B,C,,
,B,C,,
,B,,D,
A,,,D,
,B,C,,
,B,C,,
,,C,D,
,,C,D,
,B,,D,
A,,,,
,,,D,
A,,C,,
,B,,D,
,B,,D,
A,,,D,
A,,,,
,B,,D,
,B,,,
,B,C,,
,B,,,
,B,,D,
A,B,,,
,B,C,,
,B,,D,
,B,C,,
A,B,,,
A,,,D,
