a,b,c,d,e
A,,C,,
A,,C,,
,B,C,,
A,,C,,
,B,,D,
,,C,,
,B,,D,
A,,C,,
A,B,,,
,B,,,
,,C,D,
,B,,D,
,B,C,,
,B,C,,
,,,D,
A,,,D,
,,C,,
,,C,,
,B,C,,
,B,C,,
A,,,D,
,,C,,
,,,D,
,,,D,
,,C,,
A,,C,,
A,,C,,
A,B,,,
A,,,D,
,B,,D,
,,C,D,
,B,,D,
,B,C,,
A,,,D,
,B,,D,
A,,C,,
,,C,D,
A,,,,
A,,,,
,,C,D,
,B,,D,
,B,,D,
,B,C,,
,,C,D,
A,,,D,
A,B,,,
,,C,,
,B,,,
,B,,D,
,B,,D,
,B,,,
,,C,D,
,B,C,,
,B,,D,
,,C,D,
A,,,,
A,,C,,
A,,C,,
,B,,D,
A,,C,,
A,,,D,
,B,,,
,B,,,
A,,C,,
A,,,,
,B,,D,
A,,,,E
,B,,D,
,B,,D,
A,,,D,
,B,,,
A,B,,,
