a,b,c,d,e
A,,C,,
,,,D,
,,C,,
A,B,,,
A,,,D,
,B,,D,
A,,,,
A,,,D,
A,,,D,
,B,C,,
A,B,,,
A,,,D,
A,,C,,
,,C,D,
A,,C,,
,,C,D,
,B,C,,
,B,C,,
,,C,D,
,,,D,
,B,,,
A,,,,
,,C,,
A,,C,,
A,B,,,
A,,C,,
A,,C,,
A,,,,
,B,,,
A,,,,
,B,,D,
A,,C,,
A,,,,
,,,,E
,B,,,
,,C,,
A,,,D,
,,C,D,
,B,,D,
A,,C,,
,,C,,
A,,,,
A,,,,
A,B,,,
A,,C,,
,´B,,,
,,C,,
A,,,,
,,C,,
,,C,D,
,B,C,,
A,,C,,
A,,,D,
,B,,D,
,,C,D,
A,,C,,
,,C,,
,,,D,
,B,,,E
C,,C,,
A,B,,,
,B,,D,
A,,C,,
A,B,,,
,,,D,
,B,,D,
A,,,D,
,B,,D,
,B,,D,
A,B,,,
,B,,D,
,B,,D,
