a,b,c,d,e
,,C,,
A,B,,,
A,,C,,
A,,C,,
A,,,D,
A,,,,E
,B,,D,
,B,,D,
A,,,,
A,B,,,
,,,D,E
A,,C,,
,,C,D,
A,,C,,
,B,C,,
A,B,,,
A,B,,,
A,,C,,
,B,,D,
A,,C,,
A,,C,,
A,B,,,
,,C,D,
A,,C,,
A,B,,,
A,,C,,
A,,,D,
,B,,D,
,B,,D,
A,,C,,
A,,C,,
,,C,D,
A,B,,,
A,B,,,
,B,C,,
A,,C,,
,B,,D,
A,B,,,
A,,,D,
A,,C,,
A,B,,,
A,B,,,
,B,C,,
,B,C,,
,B,,D,
A,,C,,
A,B,,,
,B,C,,
A,,C,,
,B,,D,
A,,C,,
,,C,,
,B,,D,
,B,,D,
,B,,D,
,B,,D,
A,,C,,
,B,,D,
,B,,D,
A,,,,
,,C,D,
,B,C,,
,B,C,,
A,,,D,
,B,C,,
,B,C,,
,,C,D,
,B,,D,
,,C,D,
A,,,D,
,,C,,
A,B,,,
