a,b,c,d,e
A,,C,,
,B,,D,
,,C,D,
,,C,D,
,,,D,
,B,,D,
,B,,,
A,B,,,
A,,C,,
,B,,,
,,C,D,
A,B,,,
A,,C,,
A,B,,,
,,,D,
,,C,D,
A,,C,,
,,C,D,
A,B,,,
A,,C,,
,,C,,
,B,,,
A,,C,,
A,,C,,
A,,C,,
,,C,,
A,,C,,
A,B,,,
A,,,D,
,B,,,
,B,,D,
A,,,D,
,B,C,,
A,B,,,
,B,C,,
A,,C,,
A,,,D,
A,,,D,
,B,C,,
,,C,D,
A,B,,,
,B,,D,
A,,C,,
A,,C,,
,B,C,,
A,,,,
,B,,D,
A,B,,,
,B,,,
A,,,D,
,,C,D,
A,,C,,
,B,,,
,B,,D,
A,,C,,
,B,C,,
,,C,D,
A,,C,,
A,,,D,
A,,,D,
A,,C,,
A,,C,,
A,,,D,
A,,,D,
A,B,,,
,B,,D,
,B,,D,
A,B,,,
,B,C,,
,B,,D,
,B,,D,
,,C,,
