Frage,a,b,c,d,,
"1. Es liegt für die Durchsuchung einer Diskothek nach Drogen eine richterliche Anordnung vor.
Türsteher A ignoriert diese und verweigert den Polizeibeamten den Zutritt zur Diskothek. A versucht außerdem, den Geschäftsführer telefonisch zu informieren.
Welche Aussagen zu dem Sachverhalt sind richtig?","A)  Der Türsteher handelt korrekt, weil er laut Dienstanweisung erst vom Geschäftsführer die Erlaubnis einholen muss, die Polizeibeamten einzulassen","B) Der Widerstand des Türstehers und der Versuch, den Geschäftsführer zu warnen, kann durch die Polizei mit Gewalt unterbunden werden","C) Der Einsatzleiter der Polizei ist befugt, den Türsteher bis zur Beendigung der Amtshandlung festzunehmen",.,.,
2. Welche Rechte bzw. Pflichten haben Wachpersonen bei der Durchführung von Bewachungsaufgaben?,"A) Sie dürfen als Citystreife die Personalien von Kunden feststellen, z. B. In Ladenpassagen. Sie haben damit die gleichen Rechte wie die Polizei.","B) Sie dürfen nach bestandener Sachkundeprüfung gemäß § 34a GewO die Rechte von Hilfspolizeibeamten ausüben, z. B. Drogen bei Diskothekenbesuchern beschlagnahmen",C) Sie dürfen gegenüber Dritten Notwehr- und Notstandsrechte und vom Auftraggeber vertraglich übertragene Selbsthilferechte ausüben,"D) Sie müssen die Grundsätze der Erforderlichkeit und Verhältnismäßigkeit beachten, wenn sie Rechtfertigungsgründe in Anspruch nehmen",.,
3. Welche Rechte stehen einem Sicherheitsdienstleister und seinen Sicherheitsmitarbeitern zur Erfüllung seiner / ihrer Aufgaben zur Verfügung?,"A) Im privaten Bereich, stellvertretend für die Polizei, auch hoheitliche Befugnisse","B) Die Rechte, die dem Sicherheitsdienstleister vom Auftraggeber übertragen wurden",C) Das Recht zu durchsuchen und beschlagnahmen,D) Die jedem Menschen zustehenden “Jedermannrechte“,.,
4. Der Bewachungsgewerbetreibende und seine Beschäftigten dürfen bei der Durchführung von Bewachungsaufgaben gegenüber Dritten bestimmte Rechte eigenverantwortlich ausüben. Um welche Rechte handelt es sich? ,A) Gesetzlich übertragene Rechte aufgrund einer Beleihung ,B) Beschlagnahme von Diebesgut ,C) Verkehrsregelung nach Verkehrsunfällen,D) Notwehr- und Notstandsrechte ,.,
"5. Wann sind Wachpersonen gemäß BewachV verpflichtet, Dienstkleidung zu tragen?",A)  Wenn sie Geld- und Werttransporte ausführen,B) Wenn sie Aufgaben im Objekt- und Personenschutz wahrnehmen ,C) Wenn sie Kontrollgänge im öffentlichen Verkehrsraum durchführen,"D) Wenn sie eingefriedetes Besitztum in Ausübung ihres Dienstes betreten sollen
",.,
"6. Aufgrund des § 34a Abs. 2 der Gewerbeordnung hat das Bundesministerium für Wirtschaft die Bewachungsverordnung erlassen. Überprüfen Sie die folgenden Aussagen und kreuzen Sie diejenigen an, die in der Bewachungsverordnung geregelt sind.",A) Abschluss einer Haftpflichtversicherung,B) Festlegung einer Bekleidungsordnung,C) Ausstattung mit bestimmten Ausrüstungsgegenständen wie Schließ- und Beleuchtungsmitteln oder Kommunikationsmitteln,D) Genuss von Alkohol,E) Teilnahme am Unterrichtungsverfahren,.
"7. Woher bezieht das Gewerbeamt die Auskünfte zur Überprüfung von Personen (Sicherheitsmitarbeitern), die mit Bewachungsaufgaben betraut sind bzw. betraut werden sollen?",A) Kraftfahrzeugzulassungsstelle,B) Bundeszentralregister,C) Staatsanwaltschaften und Gerichte,D) Standesamt,.,
"8. Der Betreiber einer gastgewerblichen Discothek setzt als Türsteher eigenes Personal und Wachpersonen eines Bewachungsunternehmens ein. 
Benőrigen die als Türsteher eingesetzten Personen eine Qualifikation im Sinne von 34a GewO?
","A) Ja, die Wachpersonen Benőrigen  den Sachkundenachweis ","B) Ja, die bei der Diskothek angestellten Mitarbeiter benötigen den Sachkundenachweis","C) Ja, die Wachpersonen Benőrige den Unterrichtungsnachweis ","D) Ja, die bei der Diskothek angestellten Mitarbeiter benötigen den Unterrichtungsnachweis  ",.,
9. Welche Aussagen zum Recht auf Auskunft sind gemäß BDSG richtig?,"A) Jeder muss grundsätzlich Auskunft über die zu seiner Person gespeicherten Daten erhalten, wenn er dieses beantragt","B) Verlangt jemand Auskun1t über die Daten. die zu seiner Person gespeichert sind, muss er dafür die Kosten tragen","C) Öffentliche Stellen dürfen die Auskunft im Einzelfall verweigern, wenn die Auskunft die öffentliche Sicherheit oder Ordnung gefährden würde",.,.,
10. Was sind öffentliche Stellen des Bundes gemäß DS-GVO und BDSG?,A) Deutsche Rentenversicherung Bund,B) Bewachungsunternehmen,C) Automobilkonzerne,D) Bundeskriminalamt,.,
11. Welchem Zweck dient der Datenschutz?,A) Der Wahrnehmung der familiären Integrität,B) Der Aufrechterhaltung der guten Sitten,C) Der Wahrnehmung des Rechts auf informationelle Selbstbestimmung,D) Der Gewährleistung des Rechts auf freie Entfaltung der Persönlichkeit,.,
"12. Wann ist die Videoüberwachung gemäß BDSG zulässig, sofern die schutzwürdigen Interessen der Betroffenen nicht überwiegen? ",A) Wenn es der Wahrnehmung des Hausrechts dient ,B) Wenn es der Aufgabenerfüllung öffentlicher Stellen dient ,C) Wenn es der Überwachung der Arbeitszeiten der Beschäftigten dient,D) Wenn es der Auswertung der Arbeitsleistung der Mitarbeiter dient ,.,
13. Welche dieser Personen begeht einen Besitzentzug?,A) C nimmt eine Zigarette aus der Packung die ihm von D angeboten wird,B) E nimmt ein Kind aus dem Bett einer Entbindungsstation und bringt dieses ins Ausland.,C) Der Sicherheitsmitarbeiter B behält nach dem Einsatz das Funkgerät ohne es zurückgeben zu wollen,D) A nimmt aus dem Wartezimmer eines Arztes eine Zeitung mit nachhause,.,.
14. Wer ist in den nachstehenden Beispielen „Eigentümer?,"A) Eine Person, die eine Wohnung gemietet hat","B) Eine Person, die ein Haus geerbt hat","C) Eine Person, die einen Stuhl erworben und bezahlt hat","D) Eine Person, die sich ein Buch geliehen hat",.,.
15. Das BGB regelt …,A) die Rechtsbeziehungen der Bürger untereinander,B) die Rechtsbeziehungen zwischen dem Bürger und dem Staat,C) z. B. das Schadensersatzrecht,.,.,.
"16. Während eines Hallenfußballturniers beschädigt Fußballfan B versehentlich eine Fensterscheibe im Eingangsbereich und versucht, unerkannt zu entkommen. Sicherheitsmitarbeiter S beobachtet den Vorfall.
S ist als Besitzdiener eingesetzt. Die Identität von B ist nicht bekannt.
Was darf S unternehmen?","A) S darf B festnehmen, da er den B auf frischer Tat betroffen hat. Rechtsgrundlage dafür ist die Selbsthilfe des Besitzdieners","B) S darf B durchsuchen, um ihm Geld im Wert der Scheibe abzunehmen","C) S darf B festnehmen, da B zu flüchten versucht. Die Voraussetzungen der Selbsthilfe gemäß § 229 BGB liegen vor",.,.,.
17. Kann auch ein Unterlassen gemäß BGB zu einer Schadensersatzpflicht führen?,"A) Nein, denn Unterlassen ist weder Vorsatz noch Fahrlässigkeit","B) Ja, aber nur dann, wenn die Pflicht zum Handeln vertraglich festgelegt wurde, z. B. in einem Arbeitsvertrag","C) Ja, wenn z. B. für einen Garanten eine Rechtspflicht zum Handeln besteht und durch das Unterlassen einem anderen ein Schaden zugefügt wird",.,.,.
"18. Ein Kunde beschädigt in einem Warenhaus aus Versehen ein teures Elektrogerät und versucht zu entkommen. Der Ladendetektiv sieht den Vorfall. Er kennt den Kunden persönlich.
Welche Aussage ist gemäß BGB richtig?",A) Der Ladendetektiv kann den Kunden festnehmen und später der Polizei übergeben,"B) Der Ladendetektiv kann den Kunden kurzzeitig festnehmen, um ihn zur Rede zu stellen",C) Der Warenhausbetreiber ist Geschädigter. Er kann den Kunden auf Schadensersatz verklagen,.,.,.
"19. Im Rahmen eines Kontrollganges wird ein Sicherheitsmitarbeiter von einem bissigen Hund angegriffen. Es ist kein Tierhalter oder sonst Verantwortlicher in der Nähe, der auf das Tier einwirken könnte. Der Sicherheitsmitarbeiter nimmt eine Schaufel, die einem Bauarbeiter gehört, an sich und wehrt sich erfolgreich gegen das Tier. Das Tier wird verletzt, die Schaufel zerbricht.
Welche der nachstehenden Aussagen sind zutreffend?",A) Der Sicherheitsmitarbeiter handelte in Notwehr,B) Der Eigentümer der Schaufel kann Schadenersatz vom Sicherheitsmitarbeiter verlangen,C) Der Sicherheitsmitarbeiter konnte den Angriffsnotstand in Anspruch nehmen,D) Der Sicherheitsmitarbeiter kann sich auf die Selbsthilfe des Besitzdieners berufen,.,.
20. Überprüfen Sie nachstehende Aussagen zur Notwehr und kreuzen Sie die richtige(n) Aussage(n) an.,A) Der Angriff kann auch von einem Tier ausgehen,B) Der Angriff muss von einem Menschen ausgehen,"C) Eine Verteidigungshandlung kann durchgeführt werden, solange der rechtswidrige Angriff gegenwärtig ist",D) Es können nur eigene angegriffenen Rechtsgüter verteidigt werden,.,.
21. Was beschreibt das Hausrecht? ,"A) Der Hausrechtsinhaber kann bestimmen, welche Personen sich in seinem Hausrechtsbereich aufhalten dürfen","B) Der Hausrechtsinhaber kann Verhaltensregeln für seinen Hausrechtsbereich festlegen.
","C) Der Hausrechtsinhaber muss zustimmen, wenn Personen mit Sonderzugangsrechten seinen Hausrechtsbereich betreten wollen.","D) Der Hausrechtsinhaber darf in seinem Hausrechtsbereich tun und lassen, was er will. ",.,
22. Welche Aussagen zur Notwehr gemäß BGB sind richtig? ,"A) Da beim Angriff ein Verschulden nicht erforderlich ist, kann auch ein Kind em Angreifer sein ","B) Hat der Angegriffene die Notwehrlage provoziert, steht auch ihm das Notwehrrecht zu ","C) Ein Angriff ist die von einem Menschen drohende Verletzung rechtlich geschützter und notwehrfähiger Rechtsgüter, z. B. das Hausrecht ","D) Eine Notwehrhandlung ist auch dann gerechtfertigt, wenn durch sie Rechtsgüter von unbeteiligten Personen verletzt werden ",.,
