a,b,c,d,e
,B,C,,
,,C,D,
,B,,D,
A,,,D,
,,,D,
A,,,,E
,B,C,,
A,,,,
A,,C,,
A,,,D,
,,C,,
A,B,,,
,,C,D,
,B,C,,
A,,C,,
,,C,,
,,C,,
,,C,,
,B,C,,
,B,C,,
A,B,,,
A,,C,,
A,B,,,
,B,,,
,,C,,
,B,,D,
A,B,,,
A,,C,,
A,B,,,
A,,C,,
A,,C,,
A,,C,,
A,,C,,
,B,C,,
A,B,,,
,,C,D,
A,,,D,
,B,,,
A,,,D,
A,,,D,
,B,C,,
,B,,,
,,C,D,
,B,,D,
,B,C,,
,B,,,
,,C,D,
,B,,D,
,,,D,
,B,,D,
,B,,,
,,,D,
,B,,,
,B,,D,
,B,,,
A,B,,,
,B,,D,
A,,C,,
,B,,D,
,,C,,
,,C,,
,B,C,,
,B,C,,
,,C,D,
A,,,D,
,,C,D,
,B,,,E
,,C,,
,B,,,
,B,,D,
A,B,,,
,B,,D,
